Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards,Player-additional
238,Isaiah Collier,21,UTA,PG,20,1,441,55,114,.482,7,21,.333,48,93,.516,.513,47,67,.701,4,37,41,124,12,6,41,43,164,0,,colliis01
239,Mouhamed Gueye,23,ATL,PF,30,3,495,68,140,.486,15,60,.250,53,80,.663,.539,13,23,.565,33,70,103,25,17,21,19,50,164,0,,gueyemo02
240,Aaron Holiday,29,HOU,PG,20,0,319,52,116,.448,35,79,.443,17,37,.459,.599,25,29,.862,3,19,22,21,8,3,19,28,164,0,,holidaa01
241,Dominick Barlow,22,PHI,PF,18,15,478,64,119,.538,8,32,.250,56,87,.644,.571,27,34,.794,38,63,101,33,15,18,19,41,163,0,,barlodo01
242,Luke Kornet,30,SAS,C,20,15,501,61,96,.635,0,0,,61,96,.635,.635,41,49,.837,61,73,134,39,7,28,12,42,163,0,,kornelu01
243,Vince Williams Jr.,25,MEM,PG,22,11,481,56,166,.337,26,94,.277,30,72,.417,.416,24,30,.800,18,75,93,108,18,12,47,47,162,0,,willivi01
244,Precious Achiuwa,26,SAC,C,22,9,427,67,127,.528,4,17,.235,63,110,.573,.543,22,47,.468,40,72,112,21,15,9,10,36,160,0,,achiupr01
245,Luguentz Dort,26,OKC,SF,20,20,558,55,152,.362,34,110,.309,21,42,.500,.474,15,16,.938,20,54,74,23,18,11,12,61,159,0,,dortlu01
246,Caleb Love,24,POR,SG,21,0,358,58,176,.330,26,103,.252,32,73,.438,.403,15,19,.789,12,37,49,44,9,0,17,25,157,0,,loveca01
247,Dean Wade,29,CLE,PF,28,7,642,52,135,.385,31,100,.310,21,35,.600,.500,21,29,.724,25,89,114,45,21,13,7,51,156,0,,wadede01
248,Kris Murray,25,POR,SF,27,5,680,60,135,.444,15,58,.259,45,77,.584,.500,18,27,.667,48,57,105,28,30,10,24,57,153,0,,murrakr01
249,Corey Kispert,26,WAS,SF,17,2,338,52,103,.505,27,67,.403,25,36,.694,.636,21,29,.724,6,36,42,29,8,3,11,18,152,0,,kispeco01
250,Zach Edey,23,MEM,C,11,11,284,62,98,.633,1,5,.200,61,93,.656,.638,25,32,.781,43,79,122,12,7,21,26,37,150,0,,edeyza01
251,Daniel Gafford,27,DAL,C,19,13,400,55,91,.604,0,0,,55,91,.604,.604,40,51,.784,38,75,113,22,17,29,28,51,150,0,,gaffoda01
252,Walter Clayton,22,UTA,PG,24,0,387,51,123,.415,20,67,.299,31,56,.554,.496,25,27,.926,10,40,50,78,12,4,31,44,147,0,,claytwa01
253,Pat Spencer,29,GSW,PG,21,3,325,55,128,.430,15,38,.395,40,90,.444,.488,21,24,.875,15,34,49,64,15,1,20,29,146,0,,spencpa01
254,Ja'Kobe Walter,21,TOR,SG,27,7,452,51,121,.421,30,77,.390,21,44,.477,.545,14,20,.700,19,33,52,21,26,4,17,52,146,0,,walteja01
255,Jaxson Hayes,25,LAL,C,24,4,424,59,77,.766,1,1,1.000,58,76,.763,.773,26,40,.650,33,67,100,24,8,16,13,46,145,0,,hayesja02
256,Bryce McGowens,23,NOP,SG,18,5,310,48,92,.522,15,29,.517,33,63,.524,.603,34,43,.791,4,33,37,25,8,4,5,26,145,0,,mcgowbr01
257,Nae'Qwan Tomlin,25,CLE,PF,21,2,338,56,117,.479,10,42,.238,46,75,.613,.521,22,32,.688,32,33,65,14,16,13,8,44,144,0,,tomlina01
258,Ben Sheppard,24,IND,SG,22,11,549,52,147,.354,24,88,.273,28,59,.475,.435,15,19,.789,18,72,90,43,14,3,15,43,143,0,,sheppbe01
259,Tari Eason,24,HOU,PF,12,1,271,53,103,.515,30,56,.536,23,47,.489,.660,6,9,.667,18,42,60,21,10,5,19,18,142,0,,easonta01
260,Sidy Cissoko,21,POR,SF,24,10,489,47,119,.395,21,70,.300,26,49,.531,.483,24,34,.706,19,35,54,34,13,4,26,62,139,0,,cissosi01
261,Tyler Herro,26,MIA,SG,6,6,191,50,99,.505,15,37,.405,35,62,.565,.581,24,26,.923,3,27,30,14,6,3,7,9,139,0,,herroty01
262,Landry Shamet,28,NYK,SG,15,6,314,42,93,.452,28,66,.424,14,27,.519,.602,27,34,.794,7,23,30,18,6,3,7,19,139,0,,shamela01
263,Keon Ellis,26,SAC,SG,27,2,458,47,122,.385,31,88,.352,16,34,.471,.512,13,22,.591,9,28,37,19,35,11,13,49,138,0,,elliske01
264,Oso Ighodaro,23,PHO,PF,28,5,512,64,110,.582,0,1,.000,64,109,.587,.582,10,26,.385,30,85,115,48,24,15,36,71,138,0,,ighodos01
265,Ryan Nembhard,22,DAL,PG,17,11,354,59,121,.488,18,43,.419,41,78,.526,.562,2,3,.667,5,25,30,93,6,0,29,30,138,0,,nembhry01
266,Nikola Jović,22,MIA,PF,19,1,347,46,118,.390,17,60,.283,29,58,.500,.462,28,39,.718,11,56,67,50,10,7,35,40,137,0,,jovicni01
267,Jaylin Williams,23,OKC,PF,25,3,458,44,124,.355,30,102,.294,14,22,.636,.476,19,29,.655,13,105,118,61,17,12,25,46,137,0,,willija07
268,Derrick Jones Jr.,28,LAC,SF,13,13,324,49,92,.533,16,46,.348,33,46,.717,.620,22,28,.786,11,20,31,14,11,15,10,26,136,0,,jonesde02
269,Jared McCain,21,PHI,SG,18,0,335,49,137,.358,23,69,.333,26,68,.382,.442,13,15,.867,2,37,39,35,17,0,16,24,134,0,,mccaija01
270,Mike Conley,38,MIN,PG,25,5,483,39,108,.361,28,76,.368,11,32,.344,.491,27,29,.931,10,39,49,83,15,5,17,42,133,0,,conlemi01
271,Drew Eubanks,28,SAC,C,25,11,360,56,91,.615,1,2,.500,55,89,.618,.621,20,38,.526,20,51,71,8,12,17,22,34,133,0,,eubandr01
272,Luka Garza,27,BOS,C,21,1,299,46,81,.568,11,27,.407,35,54,.648,.636,30,39,.769,52,33,85,20,6,10,9,53,133,0,,garzalu01
273,Trae Young,27,ATL,PG,7,7,186,39,94,.415,12,40,.300,27,54,.500,.479,42,50,.840,0,12,12,58,5,1,15,14,132,0,,youngtr01
274,Justin Edwards,22,PHI,SF,24,5,399,46,123,.374,27,81,.333,19,42,.452,.484,12,13,.923,14,28,42,34,17,6,19,42,131,0,,edwarju01
275,Dalton Knecht,24,LAL,SF,22,1,320,49,106,.462,21,61,.344,28,45,.622,.561,10,15,.667,9,32,41,12,7,7,8,26,129,0,,knechda01
276,Lonzo Ball,28,CLE,PG,23,3,549,43,141,.305,30,114,.263,13,27,.481,.411,12,18,.667,24,79,103,111,33,6,40,35,128,0,,balllo01
277,Craig Porter Jr.,25,CLE,PG,26,0,414,53,99,.535,14,33,.424,39,66,.591,.606,8,15,.533,36,41,77,59,26,14,20,31,128,0,,portecr01
278,Paul Reed,26,DET,C,22,2,233,55,85,.647,6,13,.462,49,72,.681,.682,12,20,.600,39,48,87,22,16,14,21,31,128,0,,reedpa01
279,Brook Lopez,37,LAC,C,21,0,308,45,111,.405,28,75,.373,17,36,.472,.532,9,13,.692,6,37,43,11,6,19,19,37,127,0,,lopezbr01
280,Steven Adams,32,HOU,C,21,5,458,45,94,.479,0,0,,45,94,.479,.479,36,51,.706,96,89,185,31,15,14,22,41,126,0,,adamsst01
281,Bogdan Bogdanović,33,LAC,SG,14,3,339,43,110,.391,23,68,.338,20,42,.476,.495,16,19,.842,5,39,44,42,8,1,18,39,125,0,,bogdabo01
282,Christian Braun,24,DEN,SG,11,11,325,48,97,.495,6,28,.214,42,69,.609,.526,23,29,.793,18,30,48,33,9,3,14,24,125,0,,braunch01
283,Jaden Hardy,23,DAL,SG,22,0,231,40,103,.388,25,65,.385,15,38,.395,.510,20,24,.833,5,22,27,11,4,2,17,25,125,0,,hardyja02
284,Trendon Watford,25,PHI,PF,14,4,286,47,88,.534,7,18,.389,40,70,.571,.574,24,30,.800,15,51,66,50,6,3,21,38,125,1,,watfotr01
285,Kobe Sanders,23,LAC,SG,20,3,388,42,98,.429,18,51,.353,24,47,.511,.520,22,24,.917,8,31,39,26,12,3,31,45,124,0,,sandeko01
286,Justin Champagnie,24,WAS,SF,25,8,375,43,102,.422,9,39,.231,34,63,.540,.466,28,37,.757,45,75,120,24,18,11,9,32,123,0,,champju01
287,Nicolas Batum,37,LAC,PF,27,2,533,39,103,.379,37,98,.378,2,5,.400,.558,6,7,.857,13,62,75,20,23,12,19,53,121,0,,batumni01
288,Bones Hyland,25,MIN,PG,20,3,244,42,85,.494,21,56,.375,21,29,.724,.618,15,18,.833,5,20,25,40,11,2,17,33,120,0,,hylanbo01
289,Spencer Jones,24,DEN,SF,24,13,432,46,86,.535,17,47,.362,29,39,.744,.634,11,20,.550,26,25,51,20,19,6,13,61,120,0,,jonessp01
290,Tyrese Proctor,21,CLE,PG,22,1,266,39,112,.348,22,72,.306,17,40,.425,.446,19,23,.826,4,28,32,31,7,0,9,25,119,0,,proctty01
291,Kevin Love,37,UTA,PF,17,0,273,39,90,.433,24,65,.369,15,25,.600,.567,16,22,.727,28,58,86,28,6,6,11,34,118,0,,loveke01
292,Nique Clifford,23,SAC,SG,25,3,441,44,115,.383,13,51,.255,31,64,.484,.439,16,22,.727,15,54,69,35,12,7,22,53,117,0,,cliffni01
293,Yves Missi,21,NOP,C,22,6,385,51,91,.560,0,0,,51,91,.560,.560,14,28,.500,68,49,117,23,4,23,22,41,116,0,,missiyv01
294,Jabari Walker,23,PHI,PF,26,5,364,39,92,.424,12,39,.308,27,53,.509,.489,26,35,.743,35,59,94,14,5,8,13,48,116,0,,walkeja01
295,Micah Peavy,24,NOP,SG,24,1,373,48,117,.410,9,38,.237,39,79,.494,.449,10,14,.714,24,34,58,25,13,2,9,38,115,0,,peavymi01
296,Robert Williams,28,POR,C,19,1,299,52,75,.693,1,9,.111,51,66,.773,.700,10,15,.667,39,74,113,17,12,28,11,24,115,0,,williro04
297,Drake Powell,20,BKN,SG,19,0,337,40,82,.488,14,37,.378,26,45,.578,.573,20,21,.952,4,31,35,37,14,3,22,32,114,0,,poweldr01
298,Jordan Hawkins,23,NOP,SG,23,0,319,41,122,.336,23,69,.333,18,53,.340,.430,8,12,.667,8,29,37,19,3,2,10,13,113,0,,hawkijo01
299,Jaden Ivey,23,DET,SG,14,0,210,41,90,.456,14,42,.333,27,48,.563,.533,16,18,.889,8,22,30,21,10,2,14,23,112,0,,iveyja01
300,Jaylen Clark,24,MIN,SG,26,0,375,39,94,.415,15,48,.313,24,46,.522,.495,18,30,.600,26,27,53,12,21,3,9,44,111,0,,clarkja02
301,Jett Howard,22,ORL,SF,20,0,239,40,90,.444,22,61,.361,18,29,.621,.567,9,9,1.000,6,24,30,18,4,3,5,22,111,0,,howarje01
302,Alex Caruso,31,OKC,SG,19,0,357,40,98,.408,20,60,.333,20,38,.526,.510,10,12,.833,13,46,59,46,34,7,17,25,110,0,,carusal01
303,Keaton Wallace,26,ATL,PG,26,2,357,40,100,.400,25,62,.403,15,38,.395,.525,5,10,.500,1,37,38,69,17,4,18,33,110,0,,wallake01
304,Bilal Coulibaly,21,WAS,SG,13,13,348,35,98,.357,11,45,.244,24,53,.453,.413,28,37,.757,7,45,52,38,16,12,25,34,109,0,,coulibi01
305,Gary Payton II,33,GSW,SG,28,1,331,48,99,.485,9,32,.281,39,67,.582,.530,4,7,.571,29,58,87,47,17,7,22,42,109,0,,paytoga02
306,Tony Bradley,28,IND,C,23,3,260,42,74,.568,0,1,.000,42,73,.575,.568,23,31,.742,38,23,61,14,3,4,9,46,107,0,,bradlto01
307,Danny Wolf,21,BKN,PF,13,0,230,36,89,.404,16,42,.381,20,47,.426,.494,17,20,.850,11,43,54,23,5,3,19,12,105,0,,wolfda01
308,Jeremy Sochan,22,SAS,PF,19,0,302,43,87,.494,7,26,.269,36,61,.590,.534,11,16,.688,23,41,64,25,10,4,15,42,104,0,,sochaje01
309,Jalen Wilson,25,BKN,PF,20,0,279,33,87,.379,21,58,.362,12,29,.414,.500,16,21,.762,2,19,21,11,5,0,10,25,103,0,,wilsoja03
310,Hugo González,19,BOS,SF,24,1,341,43,81,.531,12,29,.414,31,52,.596,.605,4,9,.444,19,56,75,12,19,7,16,50,102,0,,gonzahu01
311,Tidjane Salaün,20,CHO,PF,16,0,248,35,70,.500,18,40,.450,17,30,.567,.629,14,20,.700,9,47,56,14,8,3,9,27,102,0,,salauti01
312,Thomas Bryant,28,CLE,C,23,0,216,36,74,.486,10,36,.278,26,38,.684,.554,18,22,.818,13,45,58,8,6,7,8,27,100,0,,bryanth01
313,Branden Carlson,26,OKC,C,19,1,210,41,72,.569,15,36,.417,26,36,.722,.674,3,7,.429,10,34,44,13,2,11,7,18,100,0,,carlsbr01
314,Tyler Kolek,24,NYK,PG,24,0,278,42,86,.488,11,39,.282,31,47,.660,.552,5,8,.625,7,26,33,57,11,2,20,29,100,0,,kolekty01
315,Asa Newell,20,ATL,PF,20,0,193,38,68,.559,15,30,.500,23,38,.605,.669,9,13,.692,17,15,32,11,6,5,8,27,100,0,,newelas01
316,Terrence Shannon Jr.,25,MIN,SG,20,0,267,32,77,.416,15,35,.429,17,42,.405,.513,21,27,.778,6,22,28,14,7,1,14,29,100,0,,shannte01
317,Jevon Carter,30,CHI,PG,14,0,200,31,76,.408,24,57,.421,7,19,.368,.566,10,10,1.000,5,15,20,17,11,0,8,15,96,0,,carteje01
318,Liam McNeeley,20,CHO,SF,19,0,259,28,69,.406,19,46,.413,9,23,.391,.543,21,25,.840,9,36,45,17,4,2,10,29,96,0,,mcneeli01
319,Will Riley,19,WAS,SF,21,0,251,35,77,.455,6,26,.231,29,51,.569,.494,20,26,.769,15,20,35,21,7,2,13,13,96,0,,rileywi01
320,Karlo Matković,24,NOP,PF,20,0,231,42,63,.667,7,17,.412,35,46,.761,.722,3,10,.300,14,50,64,18,3,14,10,30,94,0,,matkoka01
321,Rob Dillingham,21,MIN,PG,25,0,265,38,109,.349,7,24,.292,31,85,.365,.381,10,14,.714,5,27,32,49,16,3,26,31,93,0,,dilliro01
322,Taylor Hendricks,22,UTA,PF,17,3,253,32,69,.464,14,34,.412,18,35,.514,.565,14,19,.737,22,36,58,9,6,4,7,17,92,0,,hendrta01
323,Mitchell Robinson,27,NYK,C,19,10,345,38,53,.717,0,0,,38,53,.717,.717,16,38,.421,85,78,163,20,16,21,14,43,92,0,,robinmi01
324,Ochai Agbaji,25,TOR,SG,22,6,354,35,87,.402,6,31,.194,29,56,.518,.437,14,17,.824,11,36,47,17,11,5,6,44,90,0,,agbajoc01
325,Trayce Jackson-Davis,25,GSW,C,20,1,258,34,59,.576,0,0,,34,59,.576,.576,19,31,.613,30,44,74,23,6,14,12,26,87,0,,jackstr02
326,Clint Capela,31,HOU,C,24,1,270,37,68,.544,0,0,,37,68,.544,.544,12,19,.632,61,50,111,10,9,16,12,23,86,0,,capelca01
327,Jase Richardson,20,ORL,SG,18,0,165,33,68,.485,12,28,.429,21,40,.525,.574,8,11,.727,7,13,20,20,5,1,10,14,86,0,,richaja02
328,Jamaree Bouyea,26,PHO,PG,12,0,172,33,56,.589,12,23,.522,21,33,.636,.696,6,7,.857,4,14,18,20,8,6,4,8,84,0,,bouyeja01
329,KJ Simpson,23,CHO,PG,14,2,223,31,89,.348,12,39,.308,19,50,.380,.416,10,16,.625,5,24,29,35,15,0,24,14,84,0,,simpskj01
330,Jarred Vanderbilt,26,LAL,PF,18,2,327,28,67,.418,7,22,.318,21,45,.467,.470,19,25,.760,32,69,101,24,17,7,25,35,82,0,,vandeja01
331,Quenton Jackson,27,IND,PG,9,5,169,26,55,.473,8,21,.381,18,34,.529,.545,21,29,.724,6,20,26,22,7,1,11,14,81,0,,jacksqu01
332,Nick Richards,28,PHO,C,24,2,225,31,60,.517,0,0,,31,60,.517,.517,19,28,.679,29,49,78,8,2,11,23,34,81,0,,richani01
333,Tyus Jones,29,ORL,PG,29,4,425,29,85,.341,15,54,.278,14,31,.452,.429,6,6,1.000,5,20,25,63,21,2,10,14,79,0,,jonesty01
334,Jeremiah Robinson-Earl,25,IND,PF,17,3,300,29,83,.349,8,33,.242,21,50,.420,.398,13,14,.929,32,56,88,12,7,1,10,23,79,0,,robinje02
335,Nick Smith Jr.,21,LAL,SG,11,0,161,30,69,.435,15,36,.417,15,33,.455,.543,4,6,.667,1,12,13,15,8,2,11,8,79,0,,smithni01
336,Guerschon Yabusele,30,NYK,C,26,0,250,28,71,.394,15,49,.306,13,22,.591,.500,6,10,.600,18,38,56,10,3,4,9,29,77,0,,yabusgu01
337,Olivier-Maxence Prosper,23,MEM,PF,17,0,173,24,50,.480,4,16,.250,20,34,.588,.520,24,26,.923,12,25,37,12,2,1,9,14,76,0,,prospol01
338,Duop Reath,29,POR,C,23,0,183,27,56,.482,19,41,.463,8,15,.533,.652,2,3,.667,5,15,20,7,3,4,6,20,75,0,,reathdu01
339,Gui Santos,23,GSW,PF,23,1,211,26,60,.433,12,37,.324,14,23,.609,.533,11,16,.688,20,26,46,15,9,2,18,29,75,0,,santogu01
340,Jericho Sims,27,MIL,C,23,4,357,34,41,.829,0,0,,34,41,.829,.829,7,10,.700,33,58,91,17,5,5,22,38,75,0,,simsje01
341,Cam Christie,20,LAC,SG,17,0,188,22,62,.355,9,29,.310,13,33,.394,.427,21,30,.700,8,28,36,11,6,2,6,11,74,0,,chrisca02
342,Ousmane Dieng,22,OKC,C,17,0,213,27,61,.443,14,32,.438,13,29,.448,.557,6,6,1.000,6,24,30,15,1,5,6,18,74,0,,diengou01
343,Al Horford,39,GSW,C,13,1,279,25,78,.321,17,57,.298,8,21,.381,.429,6,6,1.000,11,46,57,26,13,13,16,19,73,0,,horfoal01
344,Baylor Scheierman,25,BOS,SG,25,0,291,27,53,.509,18,42,.429,9,11,.818,.679,1,1,1.000,8,34,42,17,12,2,10,35,73,0,,scheiba01
345,Adem Bona,22,PHI,C,19,3,313,25,47,.532,2,4,.500,23,43,.535,.553,20,32,.625,34,39,73,3,7,30,14,39,72,0,,bonaad01
346,Walker Kessler,24,UTA,C,5,5,154,26,37,.703,6,8,.750,20,29,.690,.784,14,20,.700,23,31,54,15,7,9,16,22,72,0,,kesslwa01
347,Garrison Mathews,29,IND,SG,14,1,185,19,48,.396,15,43,.349,4,5,.800,.552,19,23,.826,2,13,15,10,5,3,3,17,72,0,,mathega01
348,Jamison Battle,24,TOR,SF,20,1,161,27,45,.600,13,27,.481,14,18,.778,.744,4,5,.800,4,26,30,7,2,1,7,13,71,0,,battlja01
349,Kelly Olynyk,34,SAS,C,16,0,174,24,47,.511,7,24,.292,17,23,.739,.585,16,21,.762,13,27,40,24,6,0,12,24,71,0,,olynyke01
350,Kobe Brown,26,LAC,PF,19,0,222,23,61,.377,10,41,.244,13,20,.650,.459,14,16,.875,11,28,39,18,7,2,10,10,70,0,,brownko01
351,Jonathan Isaac,28,ORL,PF,25,0,259,25,59,.424,6,28,.214,19,31,.613,.475,13,28,.464,23,56,79,2,7,13,8,20,69,0,,isaacjo01
352,Noah Penda,21,ORL,SF,16,0,164,26,51,.510,9,17,.529,17,34,.500,.598,7,13,.538,30,33,63,18,4,5,10,18,68,0,,pendano01
353,John Konchar,29,MEM,SG,22,0,286,26,51,.510,9,28,.321,17,23,.739,.598,6,9,.667,12,47,59,27,19,7,7,19,67,0,,konchjo01
354,Gabe Vincent,29,LAL,PG,14,6,301,21,60,.350,17,47,.362,4,13,.308,.492,7,7,1.000,4,8,12,20,7,1,6,35,66,0,,vincega01
355,Ben Saraf,19,BKN,SG,12,5,203,22,62,.355,9,33,.273,13,29,.448,.427,12,15,.800,5,14,19,34,8,3,23,15,65,0,,sarafbe01
356,RayJ Dennis,24,2TM,PG,14,0,172,22,72,.306,12,38,.316,10,34,.294,.389,8,9,.889,8,15,23,26,3,4,15,16,64,0,,dennira01
356,RayJ Dennis,24,IND,PG,13,0,168,22,72,.306,12,38,.316,10,34,.294,.389,8,9,.889,8,13,21,26,3,4,14,16,64,0,,dennira01
356,RayJ Dennis,24,LAC,PG,1,0,4,0,0,,0,0,,0,0,,,0,0,,0,2,2,0,0,0,1,0,0,0,,dennira01
357,Zach Collins,28,CHI,C,7,0,122,22,38,.579,7,15,.467,15,23,.652,.671,11,16,.688,11,23,34,10,2,2,9,13,62,0,,colliza01
358,Julian Phillips,22,CHI,SF,22,2,222,24,55,.436,9,30,.300,15,25,.600,.518,5,6,.833,16,14,30,7,10,5,2,23,62,0,,phillju01
359,Dwight Powell,34,DAL,C,22,1,256,18,29,.621,0,0,,18,29,.621,.621,25,36,.694,21,33,54,19,11,5,9,46,61,0,,poweldw01
360,Kyle Anderson,32,UTA,SF,9,0,161,24,49,.490,1,1,1.000,23,48,.479,.500,11,15,.733,7,16,23,28,13,3,9,23,60,0,,anderky01
361,Moussa Cisse,23,DAL,C,19,1,194,23,38,.605,0,0,,23,38,.605,.605,13,31,.419,28,39,67,3,5,20,14,31,59,0,,cissemo01
362,Larry Nance Jr.,33,CLE,PF,16,2,240,23,65,.354,10,33,.303,13,32,.406,.431,1,3,.333,13,32,45,20,9,4,9,38,57,0,,nancela02
