Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards,Player-additional
363,Pat Connaughton,33,CHO,SG,14,0,124,19,38,.500,10,25,.400,9,13,.692,.632,6,9,.667,5,20,25,7,5,1,3,5,54,0,,connapa01
364,Ethan Thompson,26,IND,SG,9,4,185,19,45,.422,11,33,.333,8,12,.667,.544,4,5,.800,7,8,15,15,5,2,3,21,53,0,,thompet01
365,Kenrich Williams,31,OKC,PF,9,0,142,21,43,.488,8,20,.400,13,23,.565,.581,3,6,.500,5,22,27,17,4,0,6,12,53,0,,willike04
366,Carter Bryant,20,SAS,PF,20,0,159,19,54,.352,9,30,.300,10,24,.417,.435,4,6,.667,6,29,35,2,4,2,9,16,51,0,,bryanca01
367,Jalen Pickett,26,DEN,SG,14,1,165,19,44,.432,10,26,.385,9,18,.500,.545,3,3,1.000,5,21,26,27,3,2,9,9,51,0,,pickeja02
368,Dalen Terry,23,CHI,SG,16,0,173,22,43,.512,4,15,.267,18,28,.643,.558,3,7,.429,10,18,28,20,11,4,11,18,51,0,,terryda01
369,Bradley Beal,32,LAC,SG,6,6,121,18,48,.375,7,19,.368,11,29,.379,.448,6,8,.750,2,3,5,10,3,0,9,14,49,0,,bealbr01
370,Malaki Branham,22,WAS,SG,13,0,104,15,36,.417,3,14,.214,12,22,.545,.458,16,20,.800,5,17,22,10,2,1,6,9,49,0,,branhma01
371,Taurean Prince,31,MIL,SF,8,0,169,17,38,.447,12,28,.429,5,10,.500,.605,3,3,1.000,0,13,13,8,6,2,5,20,49,0,,princta02
372,Jordan Miller,26,LAC,SF,7,0,99,13,30,.433,6,15,.400,7,15,.467,.533,15,18,.833,9,12,21,9,2,1,9,4,47,0,,millejo02
373,Chris Paul,40,LAC,PG,16,0,228,18,56,.321,10,30,.333,8,26,.308,.411,1,2,.500,6,22,28,53,11,0,16,23,47,0,,paulch01
374,Gary Harris,31,MIL,SG,20,0,284,17,38,.447,8,20,.400,9,18,.500,.553,4,4,1.000,5,23,28,22,13,3,9,22,46,0,,harriga01
375,De'Anthony Melton,27,GSW,PG,7,0,124,13,48,.271,3,24,.125,10,24,.417,.302,15,19,.789,1,6,7,14,12,4,10,16,44,0,,meltode01
376,Chaz Lanier,24,DET,SG,13,0,133,14,42,.333,12,37,.324,2,5,.400,.476,3,3,1.000,6,8,14,10,4,0,1,3,43,0,,laniech01
377,Keshad Johnson,24,MIA,SF,11,0,120,14,39,.359,5,17,.294,9,22,.409,.423,9,13,.692,11,19,30,1,5,4,3,10,42,0,,johnske10
378,Obi Toppin,27,IND,PF,3,0,82,15,36,.417,3,17,.176,12,19,.632,.458,9,9,1.000,3,17,20,5,3,0,6,7,42,0,,toppiob01
379,Jae'Sean Tate,30,HOU,SF,15,0,118,17,32,.531,5,12,.417,12,20,.600,.609,2,2,1.000,8,14,22,7,4,0,4,20,41,0,,tateja01
380,Cody Williams,21,UTA,SG,16,0,201,18,53,.340,3,24,.125,15,29,.517,.368,1,4,.250,4,12,16,11,3,3,6,22,40,0,,willico04
381,Johnny Furphy,21,IND,SG,11,0,147,15,32,.469,6,17,.353,9,15,.600,.563,3,5,.600,7,17,24,3,5,0,6,15,39,0,,furphjo01
382,Rayan Rupert,21,POR,SG,22,0,181,15,44,.341,6,21,.286,9,23,.391,.409,2,4,.500,6,26,32,7,7,1,9,22,38,0,,ruperra01
383,Jamir Watkins,24,WAS,SG,11,1,141,13,24,.542,4,13,.308,9,11,.818,.625,8,8,1.000,5,24,29,6,3,3,4,21,38,0,,watkija01
384,Julian Strawther,23,DEN,SG,12,0,93,12,39,.308,2,18,.111,10,21,.476,.333,11,16,.688,0,14,14,6,1,1,5,8,37,0,,strawju01
385,Blake Wesley,22,POR,SG,6,0,98,14,34,.412,2,10,.200,12,24,.500,.441,6,10,.600,2,12,14,19,10,1,7,14,36,0,,weslebl01
386,Zeke Nnaji,25,DEN,PF,18,1,147,13,26,.500,3,13,.231,10,13,.769,.558,6,9,.667,5,21,26,5,4,3,7,18,35,0,,nnajize01
387,Chris Youngblood,23,OKC,SG,20,0,109,10,31,.323,8,26,.308,2,5,.400,.452,7,7,1.000,3,16,19,6,1,0,1,17,35,0,,youngch01
388,Yang Hansen,20,POR,C,13,1,100,12,40,.300,1,16,.063,11,24,.458,.313,9,10,.900,6,17,23,10,0,5,9,13,34,0,,yangha01
389,Javon Small,23,MEM,PG,8,0,99,10,28,.357,6,19,.316,4,9,.444,.464,8,10,.800,1,7,8,22,0,1,8,7,34,0,,smallja01
390,Yanic Konan Niederhäuser,22,LAC,C,12,0,60,13,18,.722,0,0,,13,18,.722,.722,7,12,.583,7,9,16,3,0,3,4,4,33,0,,konanya01
391,Jordan McLaughlin,29,SAS,PG,11,0,89,12,27,.444,5,15,.333,7,12,.583,.537,4,5,.800,4,6,10,11,7,0,4,7,33,0,,mclaujo01
392,Lindy Waters III,28,SAS,SG,14,0,104,12,30,.400,9,26,.346,3,4,.750,.550,0,0,,2,13,15,5,4,0,1,11,33,0,,waterli01
393,Devin Carter,23,SAC,PG,9,0,86,10,31,.323,5,17,.294,5,14,.357,.403,7,7,1.000,4,9,13,13,6,1,8,9,32,0,,cartede02
394,David Jones García,24,SAS,SF,10,0,67,13,25,.520,3,5,.600,10,20,.500,.580,3,6,.500,4,8,12,18,6,1,5,6,32,0,,jonesda06
395,Isaiah Livers,27,PHO,PF,13,0,158,10,29,.345,7,24,.292,3,5,.600,.466,5,6,.833,8,20,28,5,7,5,5,14,32,0,,liveris01
396,Kevon Looney,29,NOP,C,12,6,155,14,33,.424,1,7,.143,13,26,.500,.439,3,6,.500,20,27,47,17,4,5,6,25,32,0,,looneke01
397,Rasheer Fleming,21,PHO,PF,13,0,77,11,32,.344,4,18,.222,7,14,.500,.406,5,5,1.000,7,8,15,2,4,2,3,9,31,0,,flemira01
398,Jalen Green,23,PHO,SG,2,2,30,11,23,.478,6,14,.429,5,9,.556,.609,3,5,.600,2,2,4,4,2,0,2,2,31,0,,greenja05
399,Caleb Martin,30,DAL,SF,23,0,217,11,39,.282,2,13,.154,9,26,.346,.308,7,9,.778,12,23,35,22,10,4,8,36,31,0,,martica02
400,Xavier Tillman Sr.,27,BOS,C,11,1,103,14,28,.500,3,13,.231,11,15,.733,.554,0,0,,10,14,24,5,6,2,4,9,31,0,,tillmxa01
401,Amir Coffey,28,MIL,SG,20,0,158,10,24,.417,3,11,.273,7,13,.538,.479,7,7,1.000,4,11,15,8,0,1,2,6,30,0,,coffeam01
402,Dereck Lively II,21,DAL,C,7,4,115,11,18,.611,0,0,,11,18,.611,.611,8,10,.800,14,23,37,13,4,11,10,21,30,0,,livelde01
403,Brooks Barnhizer,23,OKC,SG,18,0,148,12,25,.480,1,5,.200,11,20,.550,.500,4,6,.667,6,30,36,8,3,2,3,11,29,0,,barnhbr01
404,Josh Green,25,CHO,SG,5,0,77,10,19,.526,7,16,.438,3,3,1.000,.711,1,2,.500,4,5,9,5,7,0,3,8,28,0,,greenjo02
405,Luke Travers,24,CLE,SG,12,0,103,9,36,.250,1,16,.063,8,20,.400,.264,9,9,1.000,9,15,24,9,7,4,3,6,28,0,,travelu01
406,Nigel Hayes-Davis,31,PHO,SF,18,0,164,12,38,.316,1,14,.071,11,24,.458,.329,1,2,.500,9,14,23,6,7,1,6,13,26,0,,hayesni01
407,GG Jackson II,21,MEM,PF,9,0,67,9,33,.273,2,16,.125,7,17,.412,.303,6,9,.667,3,13,16,2,5,2,3,4,26,0,,jacksgg01
408,Bronny James,21,LAL,SG,14,1,125,10,31,.323,4,14,.286,6,17,.353,.387,2,2,1.000,4,5,9,21,9,1,11,12,26,0,,jamesbr02
409,Mason Plumlee,35,CHO,C,14,2,125,9,12,.750,0,0,,9,12,.750,.750,8,12,.667,10,30,40,16,6,0,9,10,26,0,,plumlma01
410,Taelon Peter,23,IND,SG,16,0,106,7,29,.241,6,27,.222,1,2,.500,.345,4,5,.800,4,12,16,14,2,2,9,7,24,0,,peterta01
411,Ariel Hukporti,23,NYK,C,17,3,153,8,16,.500,0,0,,8,16,.500,.500,7,12,.583,17,27,44,11,3,10,9,25,23,0,,hukpoar01
412,Maxi Kleber,34,LAL,PF,12,0,155,7,19,.368,3,11,.273,4,8,.500,.447,6,8,.750,6,15,21,7,2,5,2,22,23,0,,klebima01
413,Kasparas Jakučionis,19,MIA,PG,4,1,57,6,19,.316,6,11,.545,0,8,.000,.474,4,4,1.000,5,3,8,5,1,0,2,5,22,0,,jakucka01
414,Mark Sears,23,MIL,PG,7,0,26,6,13,.462,4,8,.500,2,5,.400,.615,6,8,.750,1,1,2,2,0,0,4,4,22,0,,searsma01
415,Eric Gordon,37,PHI,SG,5,0,57,8,13,.615,5,8,.625,3,5,.600,.808,0,0,,1,1,2,3,3,0,3,2,21,0,,gordoer01
416,Jeff Green,39,HOU,PF,10,0,48,8,16,.500,5,12,.417,3,4,.750,.656,0,0,,1,3,4,1,0,1,0,4,21,0,,greenje02
417,Antonio Reeves,25,CHO,SG,6,0,53,8,16,.500,5,10,.500,3,6,.500,.656,0,0,,1,4,5,2,1,0,0,3,21,0,,reevean01
418,JD Davison,23,HOU,PG,11,0,74,8,17,.471,4,9,.444,4,8,.500,.588,0,2,.000,1,3,4,10,3,1,1,4,20,0,,davisjd01
419,Mohamed Diawara,20,NYK,SF,20,1,81,8,23,.348,3,11,.273,5,12,.417,.413,1,4,.250,3,11,14,9,4,1,7,11,20,0,,diawamo01
420,Caleb Houstan,23,ATL,SF,8,0,43,6,13,.462,5,10,.500,1,3,.333,.654,3,3,1.000,4,1,5,2,1,1,4,5,20,0,,houstca01
421,Matisse Thybulle,28,POR,SG,4,0,49,6,10,.600,4,6,.667,2,4,.500,.800,4,4,1.000,0,4,4,3,10,0,1,7,20,0,,thybuma01
422,Dylan Cardwell,24,SAC,C,6,1,90,7,13,.538,0,1,.000,7,12,.583,.538,5,12,.417,9,15,24,1,3,13,5,18,19,0,,cardwdy01
423,Mac McClung,27,IND,SG,3,0,34,7,18,.389,2,10,.200,5,8,.625,.444,3,4,.750,0,4,4,1,5,1,2,6,19,0,,mccluma01
424,Thanasis Antetokounmpo,33,MIL,SF,10,0,25,6,9,.667,0,0,,6,9,.667,.667,6,9,.667,2,2,4,0,3,3,1,7,18,0,,antetth01
425,Joan Beringer,19,MIN,PF,9,0,37,8,11,.727,0,0,,8,11,.727,.727,2,3,.667,2,10,12,0,1,2,2,9,18,0,,berinjo01
426,Chris Boucher,33,BOS,PF,8,0,91,7,22,.318,1,12,.083,6,10,.600,.341,3,4,.750,2,16,18,3,5,7,1,16,18,0,,bouchch01
427,Monte Morris,30,IND,PG,6,0,65,7,20,.350,2,8,.250,5,12,.417,.400,2,4,.500,1,6,7,9,1,1,2,3,18,0,,morrimo01
428,Pete Nance,25,MIL,PF,7,0,27,7,14,.500,4,9,.444,3,5,.600,.643,0,0,,1,6,7,1,0,0,1,0,18,0,,nancepe01
429,Anthony Gill,33,WAS,PF,11,0,37,6,10,.600,1,2,.500,5,8,.625,.650,4,4,1.000,4,5,9,0,0,1,4,3,17,0,,gillan01
430,Elijah Harkless,25,UTA,SG,7,0,66,4,11,.364,2,7,.286,2,4,.500,.455,7,9,.778,2,4,6,5,4,0,3,10,17,0,,harklej01
431,Andre Jackson Jr.,24,MIL,SG,13,0,92,6,22,.273,2,13,.154,4,9,.444,.318,3,4,.750,5,7,12,17,5,2,5,12,17,0,,jacksan01
432,Bobi Klintman,22,DET,SF,6,0,53,7,21,.333,3,11,.273,4,10,.400,.405,0,3,.000,5,11,16,4,2,0,5,9,17,0,,klintbo01
433,Khaman Maluach,19,PHO,C,12,0,59,5,13,.385,0,4,.000,5,9,.556,.385,7,8,.875,2,10,12,2,0,4,5,10,17,0,,maluakh01
434,Tolu Smith,25,DET,PF,2,0,22,6,8,.750,0,0,,6,8,.750,.750,5,7,.714,4,7,11,2,1,1,1,2,17,0,,smithto05
435,Emanuel Miller,25,CHI,PF,5,0,33,6,13,.462,2,6,.333,4,7,.571,.538,1,2,.500,1,2,3,4,2,0,0,2,15,0,,milleem01
436,Leonard Miller,22,MIN,SF,9,0,38,6,12,.500,0,5,.000,6,7,.857,.500,3,5,.600,1,10,11,4,2,0,4,7,15,0,,millele01
437,Nolan Traoré,19,BKN,PG,7,0,76,5,21,.238,3,11,.273,2,10,.200,.310,2,4,.500,1,6,7,10,3,1,3,8,15,0,,traorno01
438,Trey Alexander,22,NOP,SG,3,0,37,6,9,.667,2,3,.667,4,6,.667,.778,0,0,,0,4,4,4,1,1,1,4,14,0,,alexatr01
439,Seth Curry,35,GSW,SG,2,0,32,6,9,.667,2,4,.500,4,5,.800,.778,0,0,,1,3,4,3,2,0,0,3,14,0,,curryse01
440,E.J. Liddell,25,BKN,PF,7,0,32,5,12,.417,2,8,.250,3,4,.750,.500,2,3,.667,3,6,9,0,0,0,0,4,14,0,,liddeej01
441,PJ Hall,23,MEM,C,7,0,27,5,9,.556,1,3,.333,4,6,.667,.611,2,3,.667,3,6,9,2,0,2,1,3,13,0,,hallpj01
442,Jonathan Mogbo,24,TOR,PF,11,0,50,6,12,.500,0,0,,6,12,.500,.500,1,1,1.000,6,9,15,6,1,3,1,5,13,0,,mogbojo01
443,Tyson Etienne,26,BKN,PG,8,0,34,4,15,.267,4,13,.308,0,2,.000,.400,0,0,,0,0,0,1,0,0,1,5,12,0,,etienty01
444,A.J. Lawson,25,TOR,SG,2,0,16,4,10,.400,2,4,.500,2,6,.333,.500,2,2,1.000,1,4,5,0,0,2,0,5,12,0,,lawsoaj01
445,Hunter Tyson,25,DEN,PF,11,0,43,4,18,.222,2,9,.222,2,9,.222,.278,2,2,1.000,2,12,14,3,1,0,0,4,12,0,,tysonhu01
446,Myron Gardner,24,MIA,SF,5,0,26,4,6,.667,3,5,.600,1,1,1.000,.917,0,0,,1,3,4,2,1,0,0,8,11,0,,gardnmy01
447,Johni Broome,23,PHI,C,6,0,39,4,20,.200,0,3,.000,4,17,.235,.200,2,4,.500,6,7,13,4,2,0,2,5,10,0,,broomjo01
448,Adou Thiero,21,LAL,SF,11,0,61,3,7,.429,0,0,,3,7,.429,.429,4,5,.800,4,4,8,1,3,0,3,12,10,0,,thierad01
449,James Wiseman,24,IND,C,3,1,47,5,9,.556,0,0,,5,9,.556,.556,0,0,,5,3,8,2,0,1,4,8,10,0,,wisemja01
450,Jahmir Young,25,MIA,PG,5,0,24,4,11,.364,2,5,.400,2,6,.333,.455,0,0,,0,2,2,4,1,0,2,3,10,0,,youngja05
451,DeAndre Jordan,37,NOP,C,2,1,23,4,5,.800,0,0,,4,5,.800,.800,1,2,.500,4,6,10,0,0,0,1,1,9,0,,jordade01
452,Johnny Juzang,24,MIN,SG,8,0,22,3,9,.333,2,7,.286,1,2,.500,.444,1,2,.500,1,2,3,1,0,0,1,3,9,0,,juzanjo01
453,Chris Livingston,22,CLE,SF,3,0,17,4,7,.571,0,3,.000,4,4,1.000,.571,1,1,1.000,0,3,3,1,1,0,0,4,9,0,,livinch01
454,Riley Minix,25,SAS,SF,3,0,8,4,6,.667,1,3,.333,3,3,1.000,.750,0,0,,1,1,2,1,1,0,0,1,9,0,,minixri01
455,Jamal Cain,26,ORL,SF,6,0,36,3,11,.273,1,6,.167,2,5,.400,.318,1,2,.500,2,2,4,2,1,1,3,5,8,0,,cainja01
456,Brandon Clarke,29,MEM,PF,2,2,20,3,9,.333,0,0,,3,9,.333,.333,2,4,.500,4,2,6,1,2,0,0,5,8,0,,clarkbr01
457,Ron Harper Jr.,25,BOS,SF,4,0,20,3,10,.300,2,8,.250,1,2,.500,.400,0,0,,1,2,3,4,1,2,0,2,8,0,,harpero02
458,Jacob Toppin,25,ATL,SF,5,0,17,4,6,.667,0,0,,4,6,.667,.667,0,0,,0,1,1,1,0,1,0,1,8,0,,toppija01
459,Charles Bassey,25,MEM,C,2,0,31,3,8,.375,0,0,,3,8,.375,.375,1,3,.333,7,8,15,2,1,1,1,5,7,0,,bassech01
460,Bismack Biyombo,33,SAS,C,9,1,61,3,5,.600,0,0,,3,5,.600,.600,1,2,.500,2,5,7,3,3,1,3,10,7,0,,biyombi01
461,Javonte Cooke,26,POR,SG,5,0,31,3,12,.250,1,5,.200,2,7,.286,.292,0,0,,1,2,3,5,1,0,4,1,7,0,,cookeja01
462,AJ Johnson,21,WAS,SG,11,0,48,2,15,.133,0,3,.000,2,12,.167,.133,3,4,.750,2,5,7,5,0,0,2,4,7,0,,johnsaj01
463,Cody Martin,30,IND,SF,4,0,55,2,10,.200,0,5,.000,2,5,.400,.200,3,6,.500,1,13,14,2,4,2,4,5,7,0,,martico01
464,Orlando Robinson,25,ORL,C,3,1,22,3,5,.600,1,2,.500,2,3,.667,.700,0,0,,2,1,3,2,1,0,0,3,7,0,,robinor01
465,Hunter Sallis,22,PHI,SG,6,0,25,3,5,.600,0,0,,3,5,.600,.600,1,2,.500,0,1,1,4,0,1,5,2,7,0,,sallihu01
466,Marcus Sasser,25,DET,PG,4,0,19,3,6,.500,1,3,.333,2,3,.667,.583,0,0,,0,3,3,7,0,0,1,3,7,0,,sassema01
467,Kyle Lowry,39,PHI,PG,4,0,32,2,5,.400,2,5,.400,0,0,,.600,0,0,,0,2,2,5,1,0,1,3,6,0,,lowryky01
468,Jahmai Mashack,23,MEM,SG,5,0,21,2,7,.286,2,5,.400,0,2,.000,.429,0,0,,0,5,5,2,1,0,3,1,6,0,,mashaja01
469,Doug McDermott,34,SAC,SF,2,0,11,2,4,.500,2,4,.500,0,0,,.750,0,0,,0,0,0,0,0,0,1,2,6,0,,mcderdo01
470,Wendell Moore Jr.,24,DET,SG,3,0,43,3,6,.500,0,1,.000,3,5,.600,.500,0,0,,1,3,4,3,2,1,1,1,6,0,,moorewe01
471,Harrison Ingram,23,SAS,SF,3,0,11,2,3,.667,1,1,1.000,1,2,.500,.833,0,0,,3,0,3,0,0,0,0,2,5,0,,ingraha01
472,Trey Jemison,26,NYK,C,4,0,29,2,2,1.000,0,0,,2,2,1.000,1.000,1,1,1.000,4,4,8,1,0,1,3,4,5,0,,jemistr01
473,Drew Peterson,26,CHO,PF,6,0,64,2,16,.125,0,12,.000,2,4,.500,.125,1,2,.500,3,6,9,2,3,1,0,3,5,0,,peterdr01
474,Dario Šarić,31,SAC,C,5,0,41,1,6,.167,1,3,.333,0,3,.000,.250,2,2,1.000,1,5,6,2,0,0,2,3,5,0,,saricda01
475,Isaac Jones,25,2TM,PF,4,1,18,2,4,.500,0,2,.000,2,2,1.000,.500,1,2,.500,2,0,2,1,0,0,0,4,5,0,,jonesis01
475,Isaac Jones,25,SAC,PF,3,1,17,1,2,.500,0,1,.000,1,1,1.000,.500,1,2,.500,2,0,2,1,0,0,0,4,3,0,,jonesis01
475,Isaac Jones,25,DET,PF,1,0,1,1,2,.500,0,1,.000,1,1,1.000,.500,0,0,,0,0,0,0,0,0,0,0,2,0,,jonesis01
476,Koby Brea,23,PHO,SG,2,0,8,1,3,.333,0,2,.000,1,1,1.000,.333,2,2,1.000,0,1,1,2,0,0,0,0,4,0,,breako01
477,Pacome Dadiet,20,NYK,SG,10,0,25,1,6,.167,0,3,.000,1,3,.333,.167,2,2,1.000,0,5,5,3,1,0,0,1,4,0,,dadiepa01
478,Trentyn Flowers,20,CHI,SF,2,0,6,2,3,.667,0,1,.000,2,2,1.000,.667,0,0,,1,0,1,1,0,0,1,1,4,0,,flowetr01
479,Garrett Temple,39,TOR,SG,7,0,23,1,5,.200,1,4,.250,0,1,.000,.300,1,2,.500,0,3,3,2,2,1,1,2,4,0,,templga01
480,N'Faly Dante,24,ATL,C,4,0,15,1,4,.250,0,0,,1,4,.250,.250,1,1,1.000,3,4,7,0,2,0,1,1,3,0,,nfalyda01
481,DaRon Holmes,23,DEN,PF,2,0,4,1,1,1.000,1,1,1.000,0,0,,1.500,0,0,,0,0,0,0,0,0,0,1,3,0,,holmeda01
482,Kevin McCullar Jr.,24,NYK,SF,2,0,1,1,1,1.000,1,1,1.000,0,0,,1.500,0,0,,0,1,1,0,0,0,0,0,3,0,,mcculke01
483,Amari Williams,24,BOS,PF,6,0,31,1,2,.500,0,0,,1,2,.500,.500,1,2,.500,2,5,7,1,1,2,0,4,3,0,,william01
484,Hunter Dickinson,25,NOP,C,1,0,5,1,2,.500,0,0,,1,2,.500,.500,0,0,,0,0,0,0,0,1,2,2,2,0,,dickihu01
485,Colby Jones,23,DET,SG,1,0,7,1,3,.333,0,2,.000,1,1,1.000,.333,0,0,,0,4,4,2,0,0,0,1,2,0,,jonesco02
486,Curtis Jones,24,DEN,SG,2,0,3,1,3,.333,0,1,.000,1,2,.500,.333,0,0,,1,1,2,0,0,0,0,0,2,0,,jonescu01
487,Kam Jones,23,IND,SG,1,0,1,1,1,1.000,0,0,,1,1,1.000,1.000,0,0,,0,0,0,0,0,0,0,0,2,0,,joneska03
488,Miles Kelly,23,DAL,PG,2,0,11,1,2,.500,0,1,.000,1,1,1.000,.500,0,0,,1,3,4,0,0,0,1,2,2,0,,kellymi02
489,Lachlan Olbrich,22,CHI,C,5,0,36,1,6,.167,0,3,.000,1,3,.333,.167,0,0,,3,8,11,3,0,0,2,8,2,0,,olbrila01
490,Daeqwon Plowden,27,SAC,SG,1,0,14,1,5,.200,0,3,.000,1,2,.500,.200,0,0,,2,0,2,0,0,0,0,0,2,0,,plowdda01
491,Drew Timme,25,LAL,PF,2,0,8,1,2,.500,0,1,.000,1,1,1.000,.500,0,0,,1,1,2,3,1,0,0,0,2,0,,timmedr01
492,Jahmyl Telfort,24,LAC,PF,8,0,32,0,4,.000,0,4,.000,0,0,,.000,1,4,.250,0,3,3,1,1,0,1,5,1,0,,telfoja01
493,Sharife Cooper,24,WAS,PG,4,0,10,0,1,.000,0,1,.000,0,0,,.000,0,0,,0,0,0,0,0,0,1,1,0,0,,coopesh01
494,Isaiah Crawford,24,HOU,SF,2,0,5,0,1,.000,0,1,.000,0,0,,.000,0,0,,0,0,0,0,0,0,0,0,0,0,,crawfis01
495,Noa Essengue,19,CHI,PF,2,0,6,0,3,.000,0,2,.000,0,1,.000,.000,0,0,,0,0,0,0,1,0,0,1,0,0,,essenno01
496,Tosan Evbuomwan,24,NYK,SF,4,0,7,0,1,.000,0,0,,0,1,.000,.000,0,0,,1,1,2,0,0,0,0,1,0,0,,evbuoto01
497,Vladislav Goldin,24,MIA,C,1,0,1,0,0,,0,0,,0,0,,,0,0,,0,0,0,1,0,0,0,0,0,0,,goldivl01
498,Chucky Hepburn,22,TOR,PG,2,0,13,0,6,.000,0,5,.000,0,1,.000,.000,0,0,,0,1,1,2,1,0,1,2,0,0,,hepbuch01
499,Joe Ingles,38,MIN,SF,8,0,23,0,2,.000,0,2,.000,0,0,,.000,0,0,,0,0,0,6,1,0,0,2,0,0,,inglejo01
500,Christian Koloko,25,2TM,C,3,0,16,0,0,,0,0,,0,0,,,0,0,,0,2,2,1,0,1,0,2,0,0,,kolokch01
500,Christian Koloko,25,LAL,C,2,0,6,0,0,,0,0,,0,0,,,0,0,,0,1,1,0,0,0,0,1,0,0,,kolokch01
500,Christian Koloko,25,MEM,C,1,0,10,0,0,,0,0,,0,0,,,0,0,,0,1,1,1,0,1,0,1,0,0,,kolokch01
501,Chris Mañon,24,LAL,SG,2,0,7,0,1,.000,0,1,.000,0,0,,.000,0,0,,0,2,2,0,0,1,0,2,0,0,,manonch01
502,Alijah Martin,24,TOR,SG,2,0,7,0,1,.000,0,0,,0,1,.000,.000,0,0,,0,0,0,0,1,0,0,0,0,0,,martial01
